photoUrl,groupe_id,creationTime,nom_service,description,intitule,﻿prestataire_id,updatedTime,service_id,status,prix,id
https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/services%2FServices0J9osTdQSyxTFFQtfD4q.jpg?alt=media&token=5fdb19c2-0a1d-441b-9659-879e8f638d1d,H1rNSqdq9p7Ptonzir0W,2023-10-12 11:09:17.928000+00:00,ALIMENTAIRE,Riz parfumé 100%long grain origine vietnamienne/25kg(5kg*5),Riz,dOejW7bfDveOviZE3toZ1V9iBND2,2023-10-17 10:38:27.398000+00:00,YJPGNNffL2VFqwmdoFFG,Affiche,17500,0J9osTdQSyxTFFQtfD4q
,eOl1l1Abvz8xoq5ABwtt,2023-04-15 08:31:46.976000+00:00,KINÉSITHÉRAPEUTES,"Prévention, Rééducation, Réadaptation..",Soins à domicile,jPM73iTHDgVSbvlvwttEozwNIXJ3,2023-04-15 08:41:23.999000+00:00,kkjvZAJtoLaxiVNDU2VG,Affiche,20000,0gD98L0tsmhEm7lPSj93
,eOl1l1Abvz8xoq5ABwtt,2023-09-07 18:35:57.392000+00:00,Médecins & Dentistes,Consultation médecine generale,consultation,L0dUEXs0vnayHyPnQ0QcmXp9tj42,2023-09-21 16:54:37.190000+00:00,C3frxp2RDJ2quWKc9mqN,Affiche,16000,0wbZTWCiKhIZlOygCsap
,eOl1l1Abvz8xoq5ABwtt,2023-10-21 13:57:32.237000+00:00,Médecins & Dentistes,Prise des paramètres biologiques et consultation,Consultation à domicile,7g3NB0eqWJUK5dWa7Vf8e7021Y12,2023-10-21 13:57:36.153000+00:00,C3frxp2RDJ2quWKc9mqN,Affiche,10000,16hIG9fMN0AYvodSvtQB
https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/services%2FServices183L1LM5mopzMgB4a83k.jpg?alt=media&token=2c9e3170-9390-480d-95a0-1d63e65c3b7e,tT8yKDzWw4zoQtl2g6gm,2024-01-26 12:27:08.212000+00:00,SERVICES DIVERS,"Mise en contact 
personnel de maison (1)",SERVICE DE MISE A DISPOSITION,l49kJrXNLwUnd6iMMXHwhL9RxY43,2024-01-28 20:47:41.466000+00:00,3wdruIJ01ALCZxosRmpU,Affiche,3000,183L1LM5mopzMgB4a83k
https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/services%2FServices19oYq49ukyKPS2aSVPaY.jpg?alt=media&token=6f696912-6dec-4a93-8bfe-72b7b04533a9,R3XawjusHQ57Mla9yIcm,2023-06-06 20:15:10.916000+00:00,Tout dans l'événementiel,"pick up/drop off aéroport,dépôt,course horaire,hors ville ",location taxi en Berline premium,MqOc124jRTc4TXYOfHlEbTreCSa2,2024-06-03 17:28:16.237000+00:00,KZyZa9pEBuGrFOp4Vweq,Affiche,10000,19oYq49ukyKPS2aSVPaY
https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/services%2FServices1E18B1taWXREOo7vMOcx.jpg?alt=media&token=71c5df21-c25b-4215-b2e7-acc0e4dee6cf,NMm07ka3XBMO7S0N6T7y,2023-11-14 13:30:07.874000+00:00,AMEUBLEMENT,"chambre,Salon,douche cuisine (la journée) entièrement équipé",studio meublé,Ufbq6uDgbrh1edZcb3VJHY7nIo62,2023-11-14 13:30:26.631000+00:00,xrIvvNLPdmEa5LGyevNf,Affiche,50000,1E18B1taWXREOo7vMOcx
,fNm6RTc6SfFtjJ73hnTx,2024-05-24 07:32:37.717000+00:00,Salons d'esthétique,PRP( plasma riche en plaquette ),soins visage,4OU8k1M6xDaTwc4nbaCoRBE96wt1,2024-05-24 07:32:38.079000+00:00,RF0Gh7aSA6hQiQ4ltqoX,Affiche,550000,1K4FdFehxaLI4Bhnk8EH
https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/services%2FServices1Kt5mjQgSz0YgzTEwnrx.jpg?alt=media&token=57d40a17-c968-40a5-b924-afb24ff2729c,eOl1l1Abvz8xoq5ABwtt,2023-09-22 17:54:14.540000+00:00,Médecins & Dentistes,Facettes Dentaire,PROTHÈSE FIXÉE,bKqHDmwn88ZRIWJfIBrzjllY6FP2,2023-09-22 18:18:43.547000+00:00,C3frxp2RDJ2quWKc9mqN,Affiche,150000,1Kt5mjQgSz0YgzTEwnrx
https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/services%2FServices1REwt0c7bMlmDwpAmwvm.jpg?alt=media&token=c2020374-389a-48e0-b0c4-e30b2d0a4393,tT8yKDzWw4zoQtl2g6gm,2024-01-26 12:33:52.365000+00:00,SERVICES DIVERS,"SERVICES À LA TÂCHE
BLANCHISSERIE 30 L",SERVICES À LA TÂCHE,l49kJrXNLwUnd6iMMXHwhL9RxY43,2024-01-28 20:48:01.957000+00:00,3wdruIJ01ALCZxosRmpU,Affiche,5000,1REwt0c7bMlmDwpAmwvm
